Airport1,Airport2
"algeria,annaba","france,paris"
"algeria,annaba","turkey,istanbul"
"algeria,annaba","france,lyon"
"algeria,annaba","france,marseille"
"algeria,annaba","algeria,oran"
"denmark,aalborg","denmark,aarhus"
"denmark,aalborg","spain,malaga"
"denmark,aalborg","spain,alicante"
"denmark,aalborg","netherlands,amsterdam"
"denmark,aalborg","sweden,stockholm"
"denmark,aalborg","spain,barcelona"
"denmark,aalborg","denmark,copenhagen"
"denmark,aalborg","turkey,istanbul"
"denmark,aalborg","united kingdom,london"
"denmark,aalborg","norway,oslo"
"denmark,aalborg","norway,stavanger"
"denmark,aarhus","spain,malaga"
"denmark,aarhus","sweden,stockholm"
"denmark,aarhus","denmark,copenhagen"
"denmark,aarhus","norway,oslo"
"denmark,aarhus","united kingdom,london"
"china,altay","china,urumqi"
"russia,abakan","russia,moscow"
"russia,abakan","russia,irkutsk"
"united states,allentown","united states,atlanta"
"united states,allentown","united states,charlotte"
"united states,allentown","united states,detroit"
"united states,allentown","united states,myrtle beach"
"united states,allentown","united states,chicago"
"united states,allentown","united states,punta gorda"
"united states,allentown","united states,philadelphia"
"united states,allentown","united states,st. petersburg"
"united states,allentown","united states,sanford"
"united states,albuquerque","united states,atlanta"
"united states,albuquerque","united states,baltimore"
"united states,albuquerque","united states,carlsbad"
"united states,albuquerque","united states,dallas"
"united states,albuquerque","united states,denver"
"united states,albuquerque","united states,houston"
"united states,albuquerque","united states,new york"
"united states,albuquerque","united states,los alamos"
"united states,albuquerque","united states,las vegas"
"united states,albuquerque","united states,los angeles"
"united states,albuquerque","united states,kansas city"
"united states,albuquerque","united states,chicago"
"united states,albuquerque","united states,minneapolis"
"united states,albuquerque","united states,oakland"
"united states,albuquerque","united states,portland"
"united states,albuquerque","united states,phoenix"
"united states,albuquerque","united states,san diego"
"united states,albuquerque","united states,seattle"
"united states,albuquerque","united states,san francisco"
"united states,albuquerque","united states,salt lake city"
"united states,aberdeen","united states,minneapolis"
"nigeria,abuja","ghana,accra"
"nigeria,abuja","ethiopia,addis ababa"
"nigeria,abuja","egypt,cairo"
"nigeria,abuja","nigeria,calabar"
"nigeria,abuja","france,paris"
"nigeria,abuja","benin,cotonou"
"nigeria,abuja","nigeria,enugu"
"nigeria,abuja","germany,frankfurt"
"nigeria,abuja","nigeria,ibadan"
"nigeria,abuja","nigeria,ilorin"
"nigeria,abuja","nigeria,kano"
"nigeria,abuja","togo,lome"
"nigeria,abuja","united kingdom,london"
"nigeria,abuja","nigeria,lagos"
"nigeria,abuja","chad,n'djamena"
"nigeria,abuja","niger,niamey"
"nigeria,abuja","nigeria,sokoto"
"nigeria,abuja","equatorial guinea,malabo"
"nigeria,abuja","nigeria,yola"
"australia,albury","australia,melbourne"
"australia,albury","australia,sydney"
"united states,albany","united states,atlanta"
"united kingdom,aberdeen","netherlands,amsterdam"
"united kingdom,aberdeen","norway,bergen"
"united kingdom,aberdeen","united kingdom,belfast"
"united kingdom,aberdeen","united kingdom,birmingham"
"united kingdom,aberdeen","united kingdom,bristol"
"united kingdom,aberdeen","france,paris"
"united kingdom,aberdeen","denmark,copenhagen"
"united kingdom,aberdeen","ireland,dublin"
"united kingdom,aberdeen","denmark,esbjerg"
"united kingdom,aberdeen","germany,frankfurt"
"united kingdom,aberdeen","united kingdom,kirkwall"
"united kingdom,aberdeen","united kingdom,leeds"
"united kingdom,aberdeen","united kingdom,london"
"united kingdom,aberdeen","united kingdom,manchester"
"united kingdom,aberdeen","united kingdom,norwich"
"united kingdom,aberdeen","norway,oslo"
"united kingdom,aberdeen","latvia,riga"
"united kingdom,aberdeen","norway,stavanger"
"united kingdom,aberdeen","united kingdom,wick"
"ghana,accra","ethiopia,addis ababa"
"ghana,accra","netherlands,amsterdam"
"ghana,accra","lebanon,beirut"
"ghana,accra","egypt,cairo"
"ghana,accra","morocco,casablanca"
"ghana,accra","benin,cotonou"
"ghana,accra","senegal,dakar"
"ghana,accra","united arab emirates,dubai"
"ghana,accra","italy,rome"
"ghana,accra","sierra leone,freetown"
"ghana,accra","germany,frankfurt"
"ghana,accra","turkey,istanbul"
"ghana,accra","united states,new york"
"ghana,accra","south africa,johannesburg"
"ghana,accra","ghana,kumasi"
"ghana,accra","togo,lome"
"ghana,accra","united kingdom,london"
"ghana,accra","portugal,lisbon"
"ghana,accra","nigeria,lagos"
"ghana,accra","spain,madrid"
"ghana,accra","liberia,monrovia"
"ghana,accra","kenya,nairobi"
"ghana,accra","ghana,sunyani"
"ghana,accra","burkina faso,ouagadougou"
"ghana,accra","ghana,tamale"
"ghana,accra","namibia,windhoek"
"spain,arrecife","netherlands,amsterdam"
"spain,arrecife","spain,barcelona"
"spain,arrecife","united kingdom,belfast"
"spain,arrecife","italy,bergamo"
"spain,arrecife","united kingdom,birmingham"
"spain,arrecife","spain,bilbao"
"spain,arrecife","united kingdom,blackpool"
"spain,arrecife","italy,bologna"
"spain,arrecife","united kingdom,bournemouth"
"spain,arrecife","germany,bremen"
"spain,arrecife","united kingdom,bristol"
"spain,arrecife","germany,cologne"
"spain,arrecife","belgium,charleroi"
"spain,arrecife","ireland,dublin"
"spain,arrecife","united kingdom,edinburgh"
"spain,arrecife","netherlands,eindhoven"
"spain,arrecife","germany,frankfurt"
"spain,arrecife","united kingdom,glasgow"
"spain,arrecife","germany,hannover"
"spain,arrecife","germany,hamburg"
"spain,arrecife","united kingdom,leeds"
"spain,arrecife","germany,leipzig"
"spain,arrecife","united kingdom,london"
"spain,arrecife","united kingdom,liverpool"
"spain,arrecife","spain,madrid"
"spain,arrecife","united kingdom,manchester"
"spain,arrecife","germany,munich"
"spain,arrecife","ireland,cork"
"spain,arrecife","spain,santander"
"spain,arrecife","ireland,shannon"
"spain,arrecife","germany,stuttgart"
"spain,arrecife","spain,sevilla"
"spain,arrecife","germany,berlin"
"spain,arrecife","spain,zaragoza"
"spain,arrecife","switzerland,zurich"
"united states,nantucket","united states,boston"
"united states,nantucket","united states,new bedford"
"united states,nantucket","united states,white plains"
"china,xingyi","china,guangzhou"
"china,xingyi","china,chongqing"
"china,xingyi","china,guiyang"
"china,xingyi","china,beijing"
"china,xingyi","china,shanghai"
"united states,atlantic city","united states,boston"
"united states,atlantic city","united states,detroit"
"united states,atlantic city","united states,fort lauderdale"
"united states,atlantic city","united states,houston"
"united states,atlantic city","united states,orlando"
"united states,atlantic city","united states,myrtle beach"
"united states,atlantic city","united states,chicago"
"united states,atlantic city","united states,fort myers"
"united states,atlantic city","united states,tampa"
"iran,zabol","iran,mashhad"
"turkey,adana","turkey,izmir"
"turkey,adana","turkey,antalya"
"turkey,adana","iraq,erbil"
"turkey,adana","cyprus,nicosia"
"turkey,adana","turkey,ankara"
"turkey,adana","turkey,istanbul"
"turkey,adana","saudi arabia,jeddah"
"turkey,adana","turkey,trabzon"
"turkey,adana","turkey,van"
"turkey,izmir","netherlands,amsterdam"
"turkey,izmir","sweden,stockholm"
"turkey,izmir","turkey,kayseri"
"turkey,izmir","greece,athens"
"turkey,izmir","turkey,antalya"
"turkey,izmir","united kingdom,birmingham"
"turkey,izmir","germany,bremen"
"turkey,izmir","belgium,brussels"
"turkey,izmir","france,mulhouse"
"turkey,izmir","france,paris"
"turkey,izmir","germany,cologne"
"turkey,izmir","denmark,copenhagen"
"turkey,izmir","germany,dortmund"
"turkey,izmir","ireland,dublin"
"turkey,izmir","cyprus,nicosia"
"turkey,izmir","turkey,ankara"
